reading_id,meter_id,starting_reading,end_reading
RID00001_0424,M00001,3243.77,3539.98
RID00002_0424,M00002,1250.01,1644.16
RID00003_0424,M00003,4885.71,5677.4
RID00004_0424,M00004,4168.91,4882.33
RID00005_0424,M00005,2499.51,2928.22
RID00006_0424,M00006,3254.66,3804.29
RID00007_0424,M00007,4717.83,5482.07
RID00008_0424,M00008,3799.5,4564.16
RID00009_0424,M00009,1364.18,2115.72
RID00010_0424,M00010,1664.6,1916.18
RID00011_0424,M00011,2730.13,3042.58
RID00012_0424,M00012,1206.71,2160.81
RID00013_0424,M00013,1855.12,2793.25
RID00014_0424,M00014,4597.87,5395.97
RID00015_0424,M00015,3279.59,3836.17
RID00016_0424,M00016,3413.05,3798.76
RID00017_0424,M00017,3372.96,3530.55
RID00018_0424,M00018,3541.9,3582.81
RID00019_0424,M00019,1538.35,2112.33
RID00020_0424,M00020,2283.38,3191.88
RID00021_0424,M00021,2743.36,3447.37
RID00022_0424,M00022,1751.31,1985.78
RID00023_0424,M00023,2410.63,3389.39
RID00024_0424,M00024,2042.09,2621.01
RID00025_0424,M00025,4999.31,5046.18
RID00026_0424,M00026,2791.61,3033.53
RID00027_0424,M00027,2973.75,3558.16
RID00028_0424,M00028,2543.0,2993.89
RID00029_0424,M00029,1121.15,2029.99
RID00030_0424,M00030,4010.71,4365.61
RID00031_0424,M00031,1655.23,2618.23
RID00032_0424,M00032,2901.99,3594.54
RID00033_0424,M00033,2480.3,3004.35
RID00034_0424,M00034,4907.91,4993.4
RID00035_0424,M00035,2944.48,3636.34
RID00036_0424,M00036,2476.03,2987.86
RID00037_0424,M00037,4660.53,5189.76
RID00038_0424,M00038,4113.77,4140.79
RID00039_0424,M00039,1262.71,2077.08
RID00040_0424,M00040,1643.63,2302.77
RID00041_0424,M00041,1010.64,1411.37
RID00042_0424,M00042,3801.91,4797.24
RID00043_0424,M00043,3841.05,4059.32
RID00044_0424,M00044,3889.63,4167.23
RID00045_0424,M00045,3057.05,3591.84
RID00046_0424,M00046,4639.17,5110.0
RID00047_0424,M00047,1320.36,2217.92
RID00048_0424,M00048,1716.0,2508.48
RID00049_0424,M00049,3829.4,4536.31
RID00050_0424,M00050,2490.92,2787.05
RID00051_0424,M00051,3566.06,3919.07
RID00052_0424,M00052,3576.62,3844.78
RID00053_0424,M00053,4540.72,5456.91
RID00054_0424,M00054,4621.22,5310.7
RID00055_0424,M00055,4883.78,5186.49
RID00056_0424,M00056,1394.78,1623.83
RID00057_0424,M00057,3830.81,4391.7
RID00058_0424,M00058,3492.24,3888.74
RID00059_0424,M00059,3439.18,4136.99
RID00060_0424,M00060,4380.05,5173.08
RID00061_0424,M00061,4292.05,5101.71
RID00062_0424,M00062,2104.81,2205.35
RID00063_0424,M00063,1760.45,1786.49
RID00064_0424,M00064,1511.34,1565.44
RID00065_0424,M00065,1729.89,1916.28
RID00066_0424,M00066,3586.48,3626.71
RID00067_0424,M00067,3516.69,4306.29
RID00068_0424,M00068,4800.84,5580.14
RID00069_0424,M00069,2333.54,3066.07
RID00070_0424,M00070,1790.41,1953.46
RID00071_0424,M00071,3140.4,3679.64
RID00072_0424,M00072,2048.07,2416.87
RID00073_0424,M00073,3761.87,4390.86
RID00074_0424,M00074,4010.34,4498.18
RID00075_0424,M00075,3760.58,4589.64
RID00076_0424,M00076,1297.96,1825.83
RID00077_0424,M00077,3701.95,4053.93
RID00078_0424,M00078,1137.14,1561.35
RID00079_0424,M00079,4737.87,4950.21
RID00080_0424,M00080,1694.42,2607.16
RID00081_0424,M00081,4817.09,5007.37
RID00082_0424,M00082,1195.8,1925.04
RID00083_0424,M00083,2306.06,2902.12
RID00084_0424,M00084,1045.41,1342.85
RID00085_0424,M00085,4195.77,4402.11
RID00086_0424,M00086,2240.07,2637.33
RID00087_0424,M00087,4276.48,4667.87
RID00088_0424,M00088,3704.02,4518.62
RID00089_0424,M00089,4602.58,4992.05
RID00090_0424,M00090,2473.82,3432.12
RID00091_0424,M00091,2323.6,2616.76
RID00092_0424,M00092,4240.13,4502.98
RID00093_0424,M00093,1549.28,2081.54
RID00094_0424,M00094,3221.84,3513.02
RID00095_0424,M00095,3744.75,4452.45
RID00096_0424,M00096,3653.09,4482.38
RID00097_0424,M00097,3111.32,4103.12
RID00098_0424,M00098,3257.77,3325.23
RID00099_0424,M00099,1416.72,1518.93
RID00100_0424,M00100,2656.06,3032.54
