notification_id,notification_type,message
N24001,Billing notifications,Reminder: Your electricity bill for the current month is now available. Please review and make payment by the due date to avoid late fees.
N24002,Consumption alerts,Alert: Your electricity consumption for this month is significantly higher than usual. Consider implementing energy-saving measures to reduce usage and save on costs.
N24003,Outage alerts,Alert: Planned maintenance outage scheduled for [date and time]. Please be prepared for a temporary interruption in power supply during this period.
N24004,Metering alerts,Alert: Anomalies detected in meter readings. Please schedule a meter inspection to ensure accurate billing and prevent discrepancies.
N24005,Energy efficiency tips,Tip: Use natural light during the day to reduce reliance on artificial lighting and lower your electricity consumption.
N24006,System maintenance notifications,Notification: System maintenance scheduled for [date and time]. Some features may be temporarily unavailable during this period. We apologize for any inconvenience.
N24007,Billing discrepancies,Alert: Discrepancy found in your recent electricity bill. Please contact customer support to resolve the issue and ensure accurate billing.
N24008,Payment confirmations,Confirmation: Your payment for the electricity bill has been successfully processed. Thank you for your prompt payment.
N24009,Tariff changes,Notification: Changes to electricity tariff rates effective from [date]. Please review the new rates and adjust your budget accordingly.
N24010,Emergency alerts,Alert: Severe weather warning issued for your area. Be prepared for potential power outages and take necessary precautions to ensure safety.
N24011,Compliance reminders,Reminder: Deadline approaching for submitting energy consumption reports as per regulatory requirements. Ensure compliance to avoid penalties.
N24012,Technical support,Assistance: Facing issues with accessing your account? Contact our technical support team for immediate assistance.
